id,type,kc0,kc1,kcMid,earlyT,lateT,midT,label
cups:1.01,4stage_function,0.4,0.4,1.15,0.07,1.0,0.3,Alfalfa (cycle)
cups:1.02,4stage_function,0.65,0.65,0.65,0.06,0.9,0.19,Artichokes
cups:1.03,4stage_function,0.25,0.25,1.0,0.12,0.95,0.25,Asparagus
cups:1.04,4stage_function,0.7,0.15,1.1,0.2,0.75,0.45,Barley
cups:1.05,4stage_function,0.2,0.1,0.9,0.24,0.91,0.4,Beans (pinto)
cups:1.06,4stage_function,0.2,0.1,1.0,0.24,0.91,0.4,Beans (dry)
cups:1.07,4stage_function,0.8,0.85,1.0,0.22,0.89,0.56,Beans (green)
cups:1.08,4stage_function,0.3,0.9,0.9,0.25,0.9,0.6,Beets (early)
cups:1.09,4stage_function,0.3,0.9,0.9,0.25,0.9,0.6,Beets (late)
cups:1.1,4stage_function,0.3,0.8,1.0,0.2,0.83,0.5,Broccoli
cups:1.11,4stage_function,0.3,0.85,1.0,0.25,0.88,0.63,Cabbage
cups:1.12,4stage_function,0.85,0.8,0.95,0.2,0.83,0.5,Carrots
cups:1.13,4stage_function,0.8,0.95,0.95,0.15,0.9,0.4,Celery
cups:1.14,4stage_function,0.2,0.6,1.05,0.2,0.75,0.45,Corn (grain)
cups:1.15,4stage_function,0.2,1.0,1.0,0.2,1.0,0.45,Corn (silage)
cups:1.16,4stage_function,0.35,0.5,0.95,0.15,0.85,0.25,Cotton
cups:1.17,4stage_function,0.8,0.85,0.85,0.19,0.85,0.47,Cucumber 
cups:1.18,4stage_function,0.8,0.85,0.9,0.23,0.85,0.54,Eggplant
cups:1.19,4stage_function,0.2,0.25,1.1,0.17,0.8,0.45,Flax
cups:1.2,4stage_function,0.33,0.15,1.1,0.2,0.75,0.45,Grains (small)
cups:1.21,4stage_function,0.33,0.15,1.05,0.2,0.75,0.45,Grains (winter)
cups:1.22,4stage_function,0.55,0.2,1.3,0.25,0.92,0.73,Garlic
cups:1.23,4stage_function,0.2,0.1,1.0,0.24,0.91,0.4,Lentil
cups:1.24,4stage_function,0.8,0.8,0.8,0.25,0.9,0.65,Lettuce
cups:1.25,4stage_function,0.8,0.75,0.95,0.21,0.83,0.5,Melon
cups:1.26,4stage_function,0.3,0.3,1.0,0.14,0.75,0.36,Millet
cups:1.27,4stage_function,0.3,0.85,1.0,0.25,0.88,0.63,Mustard
cups:1.28,4stage_function,0.33,0.15,1.1,0.2,0.75,0.45,Oats
cups:1.29,4stage_function,0.55,0.55,1.2,0.1,0.75,0.26,Onion (dry)
cups:1.3,4stage_function,0.55,0.55,1.2,0.25,0.9,0.7,Onion (green)
cups:1.31,4stage_function,0.2,1.0,1.0,0.2,0.83,0.47,Peas
cups:1.32,4stage_function,0.8,0.85,1.0,0.2,0.85,0.45,Peppers
cups:1.33,4stage_function,1.2,0.8,1.05,0.24,0.86,0.37,Rice
cups:1.34,4stage_function,0.8,0.75,0.85,0.2,0.85,0.45,Radishes
cups:1.35,4stage_function,0.8,0.7,1.1,0.2,0.78,0.45,Potatoes
cups:1.36,4stage_function,0.2,0.25,1.05,0.17,0.8,0.45,Safflower
cups:1.37,4stage_function,0.2,0.25,1.05,0.17,0.8,0.45,Sisal
cups:1.38,4stage_function,0.2,0.5,1.05,0.16,0.75,0.42,Sorghum
cups:1.39,4stage_function,0.8,0.9,0.95,0.33,0.92,0.67,Spinach
cups:1.4,4stage_function,0.52,0.7,0.9,0.2,0.8,0.5,Squash
cups:1.41,4stage_function,0.2,0.7,0.7,0.15,0.8,0.45,Strawberries w/mulch
cups:1.42,4stage_function,0.2,0.95,1.15,0.15,0.8,0.45,Sugarbeet
cups:1.43,4stage_function,0.4,0.75,1.25,0.17,0.78,0.44,Sugarcane
cups:1.44,4stage_function,0.2,0.4,1.1,0.2,0.8,0.45,Sunflower
cups:1.45,4stage_function,0.8,0.7,1.1,0.2,0.78,0.45,Sweet Potatoes
cups:1.46,4stage_function,0.3,0.65,1.1,0.25,0.8,0.5,Tomatoes
cups:1.47,4stage_function,0.8,0.9,0.9,0.33,0.92,0.67,Vegetables
cups:1.48,4stage_function,0.33,0.15,1.1,0.2,0.75,0.45,Wheat
cups:1.49,4stage_function,0.8,0.75,1.0,0.2,0.75,0.5,Watermelon
cups:2.01,4stage_function,1.0,1.0,1.0,0.25,0.75,0.5,Alfalfa (annual)
cups:2.02,4stage_function,0.95,0.95,0.95,0.25,0.75,0.5,Improved Pasture
cups:2.03,4stage_function,0.8,0.8,0.8,0.25,0.75,0.5,Turfgrass (cool-season)
cups:2.04,4stage_function,0.6,0.6,0.6,0.25,0.75,0.5,Turfgrass (warm-season)
cups:3.01,4stage_function,0.55,0.65,1.15,0.0,0.9,0.5,Almonds
cups:3.02,4stage_function,0.55,0.8,1.15,0.0,0.75,0.5,Apple
cups:3.03,4stage_function,0.45,0.35,0.8,0.0,0.75,0.25,Wine Grapes
cups:3.04,4stage_function,0.45,0.35,1.05,0.0,0.75,0.25,Table Grapes
cups:3.05,4stage_function,0.35,0.8,1.1,0.0,0.75,0.25,Raisin Grapes
cups:3.06,4stage_function,0.3,1.0,1.05,0.0,0.67,0.22,Kiwifruit
cups:3.07,4stage_function,0.55,0.65,1.15,0.0,0.9,0.5,Stone fruits
cups:3.08,4stage_function,0.55,0.8,1.15,0.0,0.75,0.5,Walnuts
cups:3.09,4stage_function,0.55,0.65,1.2,0.0,0.9,0.5,Peach
cups:3.1,4stage_function,0.55,0.65,1.15,0.0,0.9,0.5,Plum-Prune
cups:4.01,4stage_function,0.7,0.7,0.7,0.0,0.67,0.33,Avocado
cups:4.02,4stage_function,1.0,1.0,1.0,0.0,0.67,0.33,Grapefruit
cups:4.03,4stage_function,0.9,0.9,0.9,0.0,0.67,0.33,Lemon
cups:4.04,4stage_function,0.95,0.95,0.95,0.0,0.67,0.33,Date Palm
cups:4.05,4stage_function,1.15,1.15,1.15,0.0,0.67,0.33,Evergreen
cups:4.06,4stage_function,0.8,0.8,0.8,0.0,0.67,0.33,Olives
cups:4.07,4stage_function,1.0,1.0,1.0,0.0,0.67,0.33,Orange
